title,authors,year,doi,journal,abstract,cited_by_count,type,open_access,url,openalex_id,assessment_tasks
Automated ultrasonic-based diagnosis of concrete compressive damage amidst temperature variations utilizing deep learning,Lei Wang; Shanchang Yi; Yang Yu; Chang Gao; Bijan Samali,2024,10.1016/j.ymssp.2024.111719,Mechanical Systems and Signal Processing,"Ultrasonic-based non-destructive testing technologies have been extensively applied for detection of internal damage in concrete. However, it is vulnerable to environmental temperature variations. An automated ultrasonic-based diagnosis approach integrating the continuous wavelet transform, and the transfer learning enhanced deep convolutional neural networks is proposed to evaluate compressive damage amidst temperature variations. The ultrasonic tests were conducted on pre-damaged concrete specimens, considering both temperature variations and damage levels as variables. The results indicate that the temperature fluctuations significantly influence the ultrasonic parameters of concrete compression damage. The proposed method effectively identifies the concrete damage state amidst temperature variations. Furthermore, it is recommended that the temperature range within the training set should uniformly cover the expected temperature range throughout the lifespan of concrete structures. This study offers novel perspectives for ultrasonic testing of concrete subjected to environmental variations.",93,article,True,https://doi.org/10.1016/j.ymssp.2024.111719,https://openalex.org/W4400601656,Tasks: defects
Automated rebar recognition and corrosion assessment of concrete bridge decks using ground penetrating radar,Nour Faris; Tarek Zayed; Ali Fares; Sherif Abdelkhalek; Eslam Mohammed Abdelkader,2024,10.1016/j.autcon.2024.105631,Automation in Construction,,33,article,False,https://doi.org/10.1016/j.autcon.2024.105631,https://openalex.org/W4400761842,Tasks: deterioration
Prediction of concrete compressive strength using support vector machine regression and non-destructive testing,Wanmao Zhang; Dunwen Liu; Kunpeng Cao,2024,10.1016/j.cscm.2024.e03416,Case Studies in Construction Materials,"Performance assessment of existing building structures, especially concrete compressive strength assessment, is a crucial aspect of engineering construction for most industrialized countries. Non-destructive testing (NDT) techniques are commonly employed to assess the compressive strength of concrete structures. However, existing methods for predicting concrete compressive strength using NDT techniques and machine learning methods do not take into account the concrete mix proportion design. This study proposes an effective method to predict concrete compressive strength by combining NDT tests with different mix proportion designs and curing ages. Specifically, support vector machine regression (SVR) and back propagation neural network (BPNN) models are established. Furthermore, various machine learning evaluation indexes are utilized to assess the model performance. To construct and validate the prediction models, a total of 180 datasets containing concrete specimens with different mix proportion designs and curing ages are collected from the existing research literature. The prediction results show that the coefficients of determination (R2) of the SVR and the BPNN prediction models for the test set of concrete compressive strength are 86.0 % and 86.7 % without considering the concrete mix proportion design. The R2 of the prediction results of the SVR model is higher than 95 % when considering the effects of concrete mix proportion design and curing age. The R2 of the BPNN prediction model ranged between 92 % and 97 %. All the evaluation indexes of the SVR model for predicting the compressive strength of concrete are better than those of the BPNN model. Consequently, the SVR model can be utilized to accurately evaluate concrete compressive strength during the structural performance assessment of existing buildings.",33,article,True,https://doi.org/10.1016/j.cscm.2024.e03416,https://openalex.org/W4399693758,Tasks: strength
Characteristics of non-steady-state chloride migration of self-compacting concrete containing recycled concrete aggregate made of fly ash and silica fume,Gritsada Sua-iam; Natt Makul,2024,10.1016/j.cscm.2024.e02877,Case Studies in Construction Materials,"Chloride migration poses a significant challenge to the long-term durability of concrete structures due to its potential to corrode reinforcement and deteriorate the structure. This study focuses on chloride migration in self-compacting concrete (SCC) made with pozzolans, namely silica fume (SF) and fly ash (FA), along with recycled concrete aggregate (RCA). Particularly, the effects of external electrical potential (power-on) duration and RCA content on the features of SCC were examined, alongside the influence of pozzolanic materials, focusing on the chloride migration coefficient and mechanical properties. Six groups of SCC mixtures were created with varying proportions of SF and FA, and different levels of RCA replaced the natural coarse aggregate. The findings reveal a multifaceted impact on SCC behaviour. The chloride migration coefficient exhibits a distinct pattern as the power-on duration increases from 12 to 36 h. Initially, the coefficient increases and then decreases, demonstrating a healing and sealing mechanism within the concrete matrix, which enhances resistance to chloride penetration. The chloride migration coefficient significantly decreased with adding SF and FA. With 15% SF and 30% FA, the coefficient decreased to 59.9% and 49.5%, respectively. Moreover, incorporating RCA in SCC mixtures significantly influences coefficient levels. RCA inclusion at 20% remarkably decreased the coefficient after 12 h by 16.17%. Subsequently, the levels decreased by 39.49% and 46.87% after 24 and 36 h, respectively, compared to the control mixture. This behaviour highlights the importance of RCA in enhancing the resistance of SCC to chloride ingress, a crucial factor for long-term durability. Additionally, mechanical properties such as splitting tensile strength, ultrasonic pulse velocity and surface hardness consistently improved with longer power-on durations and higher RCA and SF content. SCC with RCA and pozzolanic materials exhibits enhanced chloride resistance and superior mechanical performance, making it ideal for sustainable concrete production.",23,article,True,https://doi.org/10.1016/j.cscm.2024.e02877,https://openalex.org/W4391074373,"Tasks: strength, deterioration"
Freeze–Thaw Damage Characteristics of Concrete Based on Compressive Mechanical Properties and Acoustic Parameters,Dongye Lv; Hanbing Liu; Feng He; Wensheng Wang; Qiang Miao,2024,10.3390/ma17051010,Materials,"Concrete is a versatile material widely used in modern construction. However, concrete is also subject to freeze–thaw damage, which can significantly reduce its mechanical properties and lead to premature failure. Therefore, the objective of this study was to assess the laboratory performance and freeze–thaw damage characteristics of a common mix proportion of concrete based on compressive mechanical tests and acoustic technologies. Freeze–thaw damage characteristics of the concrete were evaluated via compressive mechanical testing, mass loss analysis, and ultrasonic pulse velocity testing. Acoustic emission (AE) technology was utilized to assess the damage development status of the concrete. The outcomes indicated that the relationships between cumulative mass loss, compressive strength, and ultrasonic wave velocity and freeze–thaw cycles during the freezing–thawing process follow a parabola fitting pattern. As the freeze–thaw damage degree increased, the surface presented a trend of “smooth intact surface” to “surface with dense pores” to “cement mortar peeling” to “coarse aggregates exposed on a large area”. Therefore, there was a rapid decrease in the mass loss after a certain number of freeze–thaw cycles. According to the three stages divided by the stress–AE parameter curve, the linear growth stage shortens, the damage accumulation stage increases, and the failure stage appears earlier with the increase in freeze–thaw cycles. In conclusion, the application of a comprehensive understanding of freeze–thaw damage characteristics of concrete based on compressive properties and acoustic parameters would enhance the evaluation of the performance degradation and damage status for concrete structures.",22,article,True,https://doi.org/10.3390/ma17051010,https://openalex.org/W4392044223,Tasks: strength
Nondestructive Testing (NDT) for Damage Detection in Concrete Elements with Externally Bonded Fiber-Reinforced Polymer,Jesus Ortiz Polanco; Seyed Saman Khedmatgozar Dolati; Pranit Malla; Armin Mehrabi; Antonio Nanni,2024,10.3390/buildings14010246,Buildings,"Fiber-reinforced polymer (FRP) composites offer a corrosion-resistant, lightweight, and durable alternative to traditional steel material in concrete structures. However, the lack of established inspection methods for assessing reinforced concrete elements with externally bonded FRP (EB-FRP) composites hinders industry-wide confidence in their adoption. This study addresses this gap by investigating non-destructive testing (NDT) techniques for detecting damage and defects in EB-FRP concrete elements. As such, this study first identified and categorized potential damage in EB-FRP concrete elements considering where and why they occur. The most promising NDT methods for detecting this damage were then analyzed. And lastly, experiments were carried out to assess the feasibility of the selected NDT methods for detecting these defects. The result of this study introduces infrared thermography (IR) as a proper method for identifying defects underneath the FRP system (wet lay-up). The IR was capable of highlighting defects as small as 625 mm2 (1 in.2) whether between layers (debonding) or between the substrate and FRP (delamination). It also indicates the inability of GPR to detect damage below the FRP laminates, while indicating the capability of PAU to detect concrete delamination and qualitatively identify bond damage in the FRP system. The outcome of this research can be used to provide guidance for choosing effective on-site NDT techniques, saving considerable time and cost for inspection. Importantly, this study also paves the way for further innovation in damage detection techniques addressing the current limitations.",21,article,True,https://doi.org/10.3390/buildings14010246,https://openalex.org/W4390909305,Tasks: defects
Integrating Image Processing and Machine Learning for the Non-Destructive Assessment of RC Beams Damage,Hosein Naderpour; Mohammad Abbasi; Denise‐Penelope N. Kontoni; Masoomeh Mirrashid; Nima Ezami,2024,10.3390/buildings14010214,Buildings,"Non-destructive testing (NDT) is a crucial method for detecting damages in concrete structures. Structural damage can lead to functional changes, necessitating a range of damage detection techniques. Non-destructive methods enable the pinpointing of the location of the damage without causing harm to the structure, thus saving both time and money. Damaged structures exhibit alterations in their static and dynamic properties, primarily stemming from a reduction in stiffness. Monitoring these changes allows for the determination of the failure location and severity, facilitating timely repairs and reinforcement before further deterioration occurs. A systematic approach to damage detection and assessment is pivotal for fortifying structures and preventing structural collapse, which can result in both financial and human losses. In this study, we employ image processing to categorize damaged beams based on their crack growth and propagation patterns. We also utilize support vector machine (SVM) and k-nearest neighbor (KNN) methods to detect the type, location, and extent of failures in reinforced concrete beams. To provide context and relevance for the laboratory specimens, we will compare our findings to the results from controlled experiments in a controlled laboratory setting.",14,article,True,https://doi.org/10.3390/buildings14010214,https://openalex.org/W4390880753,Tasks: defects
Ensemble learning based compressive strength prediction of concrete structures through real-time non-destructive testing,Harish Chandra Arora; Bharat Bhushan; Aman Kumar; Prashant Kumar; Marijana Hadzima-Nyarko,2024,10.1038/s41598-024-52046-y,Scientific Reports,,13,article,True,https://doi.org/10.1038/s41598-024-52046-y,https://openalex.org/W4391057850,Tasks: strength
Fiber reinforced concrete: a state of the art,Hogr Z. Hassan; Najmadeen Saeed,2024,10.1007/s43939-024-00171-w,Discover Materials,"Abstract Fiber-reinforced concrete (FRC) is a type of concrete with added fibers that has become an interesting material for researchers to study its properties and behavior in a variety of scenarios. Fibers are long, thin, needlelike particles that are mixed into a typical cement paste, mortar, or concrete matrix. Researchers conducted various review studies on the use of fiber in concrete mixes to evaluate the changes in concrete properties. However, they had certain limitations because they only looked at one type of concrete or fiber, or how fiber influenced a restricted number of concrete properties. Others have decided to focus solely on recycled fibers, ignoring the effect of industrial fresh fibers on concrete. This work aims to develop an extensive database containing various types of fibers, fiber properties, fiber ratios, concrete mixtures, and aggregate particle varieties. The purpose of this database is to fill in the gaps and weaknesses of previous review papers and provide a comprehensive and detailed analysis of the literature produced by researchers studying fiber-reinforced concrete. The literature defined the effects of fibers in various kinds of use for different types of concrete. The study examines the impacts of fibers on the fifteen main features of concrete, employing 149 literatures that comprise its durability, workability, and mechanical capabilities. Compressive strength, tensile strength, flexural strength, modules of elasticity, density, toughness, ultrasonic pulse velocity, slump, V funnel, L box, J ring, chloride penetration, air content, and electrical resistance are some of these topics. The results of each property were recorded from the literature and shown in graphs to make a clear comparison for different references which used various mix proportions, mix types, fiber dosages, and types, with aggregate types corresponding to mixture types. The fiber dosages for every literature were recorded in the database and the comparison in the graphs was made according to this fiber dosage. It is important to analysis the behavior of different concretes that contain various fiber types including different aggregates to understand the interaction of all these factors on concrete performance in the form of strength and workability, while looking for long-term behavior and durability. Moreover, understanding the materials behavior is important for leading researchers to further applications in structural concrete. According to the literature, essentially, the best technique to improve compressive strength is to increase the fiber content by up to 1%, and the most common and efficient type of fiber for this purpose is steel fiber. The tensile strength of concrete is greatly enhanced with the addition of fibers, which take the form of a web-like structure resembling a space truss. According to the sources that were examined, concrete’s flexural strength may be increased by up to 1.5% by adding more fiber. Flexural strength has enhanced by 50% to 70% or even more in the majority of investigations. The workability of the concrete has been negatively impacted by the fiber addition. Friction between the aggregates and the fibers provides a good explanation for the great majority of data, which are valid for nearly all types of fibers and concrete. Furthermore, this study investigates how fiber affects concrete durability in the presence of chloride penetration and discovers that adding additional fiber minimizes the amount of tensile and compressive strength loss. Most studies predicted increased concrete density, and the findings showed that high-fiber volume fraction combinations included more air than low-fiber volume fraction mixes. Graphical Abstract",13,article,True,https://doi.org/10.1007/s43939-024-00171-w,https://openalex.org/W4405708220,"Tasks: strength, deterioration"
Damage Detection in FRP-Reinforced Concrete Elements,Pranit Malla; Seyed Saman Khedmatgozar Dolati; Jesus Ortiz Polanco; Armin Mehrabi; Antonio Nanni,2024,10.3390/ma17051171,Materials,"Fiber-Reinforced Polymer (FRP) composites have emerged as a promising alternative to conventional steel reinforcements in concrete structures owing to their benefits of corrosion resistance, higher strength-to-weight ratio, reduced maintenance cost, extended service life, and superior durability. However, there has been limited research on non-destructive testing (NDT) methods applicable for identifying damage in FRP-reinforced concrete (FRP-RC) elements. This knowledge gap has often limited its application in the construction industry. Engineers and owners often lack confidence in utilizing this relatively new construction material due to the challenge of assessing its condition. Thus, the main objective of this study is to determine the applicability of two of the most common NDT methods: the Ground-Penetrating Radar (GPR) and Phased Array Ultrasonic (PAU) methods for the detection of damage in FRP-RC elements. Three slab specimens with variations in FRP type (glass-, carbon- and basalt-FRP, i.e., GFRP, CFRP, and BFRP, respectively), bar diameter, bar depths, and defect types were investigated to determine the limitations and detection capabilities of these two NDT methods. The results show that GPR could detect damage in GFRP bars and CFRP strands, but PAU was limited to damage detection in CFRP strands. The findings of this study show the applicability of conventional NDT methods to FRP-RC and at the same time identify the areas with a need for further research.",12,article,True,https://doi.org/10.3390/ma17051171,https://openalex.org/W4392370070,"Tasks: deterioration, defects"
